,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
279,2008,3,26,0,15,56,279,44.62414,-110.73159,8.943,1.3009384607474956
280,2008,3,26,1,3,48,280,44.73365,-110.46192,3.897,1.4084526900494552
281,2008,3,27,1,47,26,281,44.70846,-110.99504,6.767,0.8487450218700758
282,2008,3,27,4,30,55,282,44.70841,-110.9955,6.732,1.0366495496041237
283,2008,3,27,5,16,31,283,44.22943,-110.66147,16.636,0.9845223560639146
284,2008,3,27,6,33,56,284,44.70803,-110.99446,6.752,1.2622434552944055
285,2008,3,27,9,51,28,285,44.78487,-110.98523,5.979,0.933945501213567
286,2008,3,29,0,23,7,286,44.78487,-110.98523,5.979,1.2980786964736435
287,2008,3,30,19,8,22,287,44.42898,-110.58663,5.018,1.1743779483486518
288,2008,3,31,12,28,54,288,44.62717,-110.64738,2.295,0.8236327923023061
289,2008,3,31,22,19,47,289,44.26224,-110.46198,14.987,1.7535416825188614
290,2008,4,1,3,22,50,290,44.61701,-110.34501,2.768,1.0003785269390546
291,2008,4,2,2,18,54,291,44.77262,-110.79648,0.685,0.8526878498569248
292,2008,4,2,12,29,18,292,44.45574,-110.32871,0.984,1.3086281529793982
293,2008,4,2,16,22,29,293,44.27783,-110.62553,16.164,1.196849883258882
294,2008,4,2,17,4,37,294,44.27743,-110.62515,16.079,1.6605502629925326
295,2008,4,2,17,17,2,295,44.27724,-110.62532,16.079,1.5421812075330787
296,2008,4,5,23,13,55,296,44.70494,-110.08326,5.006,1.0411963540805893
297,2008,4,8,3,36,39,297,44.46062,-110.93017,9.143,0.8127487924972697
298,2008,4,8,3,42,30,298,44.46062,-110.93017,9.143,1.3948144784951326
299,2008,4,8,14,22,43,299,44.3733,-110.98449,7.933,1.3353474385510549
300,2008,4,9,17,51,26,300,44.46077,-110.30075,11.348,1.4326547745200604
301,2008,4,14,11,11,49,301,44.7731,-111.24468,8.487,0.8496196478007013
302,2008,4,17,9,9,30,302,44.62263,-111.14135,6.989,1.7965205496275627
303,2008,4,17,12,9,35,303,44.70867,-111.22631,8.271,0.9230626087491802
304,2008,4,19,18,19,18,304,44.55798,-110.96994,9.123,1.881115529242904
305,2008,4,20,1,21,13,305,44.69803,-110.07768,3.998,0.8423222486967035
306,2008,4,20,6,37,21,306,44.55798,-110.96994,9.123,1.0036026534076297
307,2008,4,22,11,47,39,307,44.62156,-110.67277,-0.581,0.8144939351193389
308,2008,4,22,22,37,57,308,44.59752,-110.44115,3.394,1.5131504256835075
309,2008,4,23,17,2,45,309,44.55769,-110.96961,9.113,0.954648527400248
310,2008,4,25,9,17,53,310,44.47683,-110.71712,2.179,0.8088300975638857
311,2008,4,26,9,5,19,311,44.60416,-110.65628,5.085,0.8252907239185677
312,2008,4,26,9,6,30,312,44.604,-110.65635,5.052,1.3146503366752502
313,2008,4,26,9,7,35,313,44.60401,-110.6567,5.079,1.1725394794972617
314,2008,4,26,9,14,5,314,44.60345,-110.65398,4.984,0.874947468995511
315,2008,4,26,10,3,44,315,44.60394,-110.65344,4.959,0.8440719408889006
316,2008,4,26,23,40,44,316,44.74039,-111.18021,7.761,1.3331552605907508
317,2008,4,27,17,39,54,317,44.72911,-111.20687,6.459,1.5866064069256776
318,2008,4,29,17,46,30,318,44.61357,-110.68082,4.758,0.9158258244300376
319,2008,4,30,7,3,49,319,44.55798,-110.96994,9.123,1.6529735172276585
320,2008,5,1,15,10,32,320,44.78174,-110.50751,5.353,1.0842035550777134
321,2008,5,1,18,19,45,321,44.46004,-110.60611,2.85,0.8318802134421873
322,2008,5,3,16,23,40,322,44.42345,-110.79051,1.766,0.8171927569928107
323,2008,5,4,11,51,5,323,44.78334,-111.39706,5.05,1.6845714854039346
324,2008,5,4,20,14,51,324,44.53722,-110.50419,1.847,1.099782096037868
325,2008,5,4,21,7,51,325,44.54026,-110.50826,0.482,0.9790090540145252
326,2008,5,5,1,15,39,326,44.7627,-111.08539,4.156,1.4813790964739744
327,2008,5,5,1,19,35,327,44.7627,-111.08516,4.162,1.886601335879087
328,2008,5,5,3,38,48,328,44.76097,-111.00137,6.16,1.123689739124849
329,2008,5,5,9,7,52,329,44.7628,-111.08514,4.165,1.5079396558728186
330,2008,5,5,15,57,54,330,44.76097,-111.00137,6.16,1.2380604480322066
